fecha,año,mes,dia,nombre_mes,nombre_dia_semana,trimestre,semana_del_año,es_evento
2018-05-02,2018,5,2,May,Wednesday,2,18,0
2018-05-03,2018,5,3,May,Thursday,2,18,0
2018-05-04,2018,5,4,May,Friday,2,18,0
2018-05-05,2018,5,5,May,Saturday,2,18,0
2018-05-06,2018,5,6,May,Sunday,2,18,0
2018-05-07,2018,5,7,May,Monday,2,19,0
2018-05-08,2018,5,8,May,Tuesday,2,19,0
2018-05-09,2018,5,9,May,Wednesday,2,19,0
2018-05-10,2018,5,10,May,Thursday,2,19,0
2018-05-11,2018,5,11,May,Friday,2,19,0
2018-05-12,2018,5,12,May,Saturday,2,19,0
2018-05-13,2018,5,13,May,Sunday,2,19,0
2018-05-14,2018,5,14,May,Monday,2,20,1
2018-05-15,2018,5,15,May,Tuesday,2,20,1
2018-05-16,2018,5,16,May,Wednesday,2,20,1
2018-05-17,2018,5,17,May,Thursday,2,20,0
2018-05-18,2018,5,18,May,Friday,2,20,0
2018-05-19,2018,5,19,May,Saturday,2,20,0
2018-05-20,2018,5,20,May,Sunday,2,20,0
2018-05-21,2018,5,21,May,Monday,2,21,0
2018-05-22,2018,5,22,May,Tuesday,2,21,0
2018-05-23,2018,5,23,May,Wednesday,2,21,0
2018-05-24,2018,5,24,May,Thursday,2,21,0
2018-05-25,2018,5,25,May,Friday,2,21,0
2018-05-26,2018,5,26,May,Saturday,2,21,0
2018-05-27,2018,5,27,May,Sunday,2,21,0
2018-05-28,2018,5,28,May,Monday,2,22,0
2018-05-29,2018,5,29,May,Tuesday,2,22,0
2018-05-30,2018,5,30,May,Wednesday,2,22,0
2018-05-31,2018,5,31,May,Thursday,2,22,0
2018-06-01,2018,6,1,June,Friday,2,22,0
2018-06-02,2018,6,2,June,Saturday,2,22,0
2018-06-03,2018,6,3,June,Sunday,2,22,0
2018-06-04,2018,6,4,June,Monday,2,23,0
2018-06-05,2018,6,5,June,Tuesday,2,23,0
2018-06-06,2018,6,6,June,Wednesday,2,23,0
2018-06-07,2018,6,7,June,Thursday,2,23,0
2018-06-08,2018,6,8,June,Friday,2,23,0
2018-06-09,2018,6,9,June,Saturday,2,23,0
2018-06-10,2018,6,10,June,Sunday,2,23,0
2018-06-11,2018,6,11,June,Monday,2,24,0
2018-06-12,2018,6,12,June,Tuesday,2,24,0
2018-06-13,2018,6,13,June,Wednesday,2,24,0
2018-06-14,2018,6,14,June,Thursday,2,24,0
2018-06-15,2018,6,15,June,Friday,2,24,0
2018-06-16,2018,6,16,June,Saturday,2,24,0
2018-06-17,2018,6,17,June,Sunday,2,24,0
2018-06-18,2018,6,18,June,Monday,2,25,0
2018-06-19,2018,6,19,June,Tuesday,2,25,0
2018-06-20,2018,6,20,June,Wednesday,2,25,0
2018-06-21,2018,6,21,June,Thursday,2,25,0
2018-06-22,2018,6,22,June,Friday,2,25,0
2018-06-23,2018,6,23,June,Saturday,2,25,0
2018-06-24,2018,6,24,June,Sunday,2,25,0
2018-06-25,2018,6,25,June,Monday,2,26,0
2018-06-26,2018,6,26,June,Tuesday,2,26,0
2018-06-27,2018,6,27,June,Wednesday,2,26,0
2018-06-28,2018,6,28,June,Thursday,2,26,0
2018-06-29,2018,6,29,June,Friday,2,26,0
2018-06-30,2018,6,30,June,Saturday,2,26,0
2018-07-01,2018,7,1,July,Sunday,3,26,0
2018-07-02,2018,7,2,July,Monday,3,27,0
2018-07-03,2018,7,3,July,Tuesday,3,27,0
2018-07-04,2018,7,4,July,Wednesday,3,27,0
2018-07-05,2018,7,5,July,Thursday,3,27,0
2018-07-06,2018,7,6,July,Friday,3,27,0
2018-07-07,2018,7,7,July,Saturday,3,27,0
2018-07-08,2018,7,8,July,Sunday,3,27,0
2018-07-09,2018,7,9,July,Monday,3,28,0
2018-07-10,2018,7,10,July,Tuesday,3,28,0
2018-07-11,2018,7,11,July,Wednesday,3,28,0
2018-07-12,2018,7,12,July,Thursday,3,28,0
2018-07-13,2018,7,13,July,Friday,3,28,0
2018-07-14,2018,7,14,July,Saturday,3,28,0
2018-07-15,2018,7,15,July,Sunday,3,28,0
2018-07-16,2018,7,16,July,Monday,3,29,0
2018-07-17,2018,7,17,July,Tuesday,3,29,0
2018-07-18,2018,7,18,July,Wednesday,3,29,0
2018-07-19,2018,7,19,July,Thursday,3,29,0
2018-07-20,2018,7,20,July,Friday,3,29,0
2018-07-21,2018,7,21,July,Saturday,3,29,0
2018-07-22,2018,7,22,July,Sunday,3,29,0
2018-07-23,2018,7,23,July,Monday,3,30,0
2018-07-24,2018,7,24,July,Tuesday,3,30,0
2018-07-25,2018,7,25,July,Wednesday,3,30,0
2018-07-26,2018,7,26,July,Thursday,3,30,0
2018-07-27,2018,7,27,July,Friday,3,30,0
2018-07-28,2018,7,28,July,Saturday,3,30,0
2018-07-29,2018,7,29,July,Sunday,3,30,0
2018-07-30,2018,7,30,July,Monday,3,31,0
2018-07-31,2018,7,31,July,Tuesday,3,31,0
2018-08-01,2018,8,1,August,Wednesday,3,31,0
2018-08-02,2018,8,2,August,Thursday,3,31,0
2018-08-03,2018,8,3,August,Friday,3,31,0
2018-08-04,2018,8,4,August,Saturday,3,31,0
2018-08-05,2018,8,5,August,Sunday,3,31,0
2018-08-06,2018,8,6,August,Monday,3,32,0
2018-08-07,2018,8,7,August,Tuesday,3,32,0
2018-08-08,2018,8,8,August,Wednesday,3,32,0
2018-08-09,2018,8,9,August,Thursday,3,32,0
2018-08-10,2018,8,10,August,Friday,3,32,0
2018-08-11,2018,8,11,August,Saturday,3,32,0
2018-08-12,2018,8,12,August,Sunday,3,32,0
2018-08-13,2018,8,13,August,Monday,3,33,0
2018-08-14,2018,8,14,August,Tuesday,3,33,0
2018-08-15,2018,8,15,August,Wednesday,3,33,0
2018-08-16,2018,8,16,August,Thursday,3,33,0
2018-08-17,2018,8,17,August,Friday,3,33,0
2018-08-18,2018,8,18,August,Saturday,3,33,0
2018-08-19,2018,8,19,August,Sunday,3,33,0
2018-08-20,2018,8,20,August,Monday,3,34,0
2018-08-21,2018,8,21,August,Tuesday,3,34,0
2018-08-22,2018,8,22,August,Wednesday,3,34,0
2018-08-23,2018,8,23,August,Thursday,3,34,0
2018-08-24,2018,8,24,August,Friday,3,34,0
2018-08-25,2018,8,25,August,Saturday,3,34,0
2018-08-26,2018,8,26,August,Sunday,3,34,0
2018-08-27,2018,8,27,August,Monday,3,35,0
2018-08-28,2018,8,28,August,Tuesday,3,35,0
2018-08-29,2018,8,29,August,Wednesday,3,35,0
2018-08-30,2018,8,30,August,Thursday,3,35,0
2018-08-31,2018,8,31,August,Friday,3,35,0
2018-09-01,2018,9,1,September,Saturday,3,35,0
2018-09-02,2018,9,2,September,Sunday,3,35,0
2018-09-03,2018,9,3,September,Monday,3,36,0
2018-09-04,2018,9,4,September,Tuesday,3,36,0
2018-09-05,2018,9,5,September,Wednesday,3,36,0
2018-09-06,2018,9,6,September,Thursday,3,36,0
2018-09-07,2018,9,7,September,Friday,3,36,0
2018-09-08,2018,9,8,September,Saturday,3,36,0
2018-09-09,2018,9,9,September,Sunday,3,36,0
2018-09-10,2018,9,10,September,Monday,3,37,0
2018-09-11,2018,9,11,September,Tuesday,3,37,0
2018-09-12,2018,9,12,September,Wednesday,3,37,0
2018-09-13,2018,9,13,September,Thursday,3,37,0
2018-09-14,2018,9,14,September,Friday,3,37,0
2018-09-15,2018,9,15,September,Saturday,3,37,0
2018-09-16,2018,9,16,September,Sunday,3,37,0
2018-09-17,2018,9,17,September,Monday,3,38,0
2018-09-18,2018,9,18,September,Tuesday,3,38,0
2018-09-19,2018,9,19,September,Wednesday,3,38,0
2018-09-20,2018,9,20,September,Thursday,3,38,0
2018-09-21,2018,9,21,September,Friday,3,38,0
2018-09-22,2018,9,22,September,Saturday,3,38,0
2018-09-23,2018,9,23,September,Sunday,3,38,0
2018-09-24,2018,9,24,September,Monday,3,39,0
2018-09-25,2018,9,25,September,Tuesday,3,39,0
2018-09-26,2018,9,26,September,Wednesday,3,39,0
2018-09-27,2018,9,27,September,Thursday,3,39,0
2018-09-28,2018,9,28,September,Friday,3,39,0
2018-09-29,2018,9,29,September,Saturday,3,39,0
2018-09-30,2018,9,30,September,Sunday,3,39,0
2018-10-01,2018,10,1,October,Monday,4,40,0
2018-10-02,2018,10,2,October,Tuesday,4,40,0
2018-10-03,2018,10,3,October,Wednesday,4,40,0
2018-10-04,2018,10,4,October,Thursday,4,40,0
2018-10-05,2018,10,5,October,Friday,4,40,0
2018-10-06,2018,10,6,October,Saturday,4,40,0
2018-10-07,2018,10,7,October,Sunday,4,40,0
2018-10-08,2018,10,8,October,Monday,4,41,0
2018-10-09,2018,10,9,October,Tuesday,4,41,0
2018-10-10,2018,10,10,October,Wednesday,4,41,0
2018-10-11,2018,10,11,October,Thursday,4,41,0
2018-10-12,2018,10,12,October,Friday,4,41,0
2018-10-13,2018,10,13,October,Saturday,4,41,0
2018-10-14,2018,10,14,October,Sunday,4,41,0
2018-10-15,2018,10,15,October,Monday,4,42,0
2018-10-16,2018,10,16,October,Tuesday,4,42,0
2018-10-17,2018,10,17,October,Wednesday,4,42,0
2018-10-18,2018,10,18,October,Thursday,4,42,0
2018-10-19,2018,10,19,October,Friday,4,42,0
2018-10-20,2018,10,20,October,Saturday,4,42,0
2018-10-21,2018,10,21,October,Sunday,4,42,0
2018-10-22,2018,10,22,October,Monday,4,43,0
2018-10-23,2018,10,23,October,Tuesday,4,43,0
2018-10-24,2018,10,24,October,Wednesday,4,43,0
2018-10-25,2018,10,25,October,Thursday,4,43,0
2018-10-26,2018,10,26,October,Friday,4,43,0
2018-10-27,2018,10,27,October,Saturday,4,43,0
2018-10-28,2018,10,28,October,Sunday,4,43,0
2018-10-29,2018,10,29,October,Monday,4,44,0
2018-10-30,2018,10,30,October,Tuesday,4,44,0
2018-10-31,2018,10,31,October,Wednesday,4,44,0
2018-11-01,2018,11,1,November,Thursday,4,44,0
2018-11-02,2018,11,2,November,Friday,4,44,0
2018-11-03,2018,11,3,November,Saturday,4,44,0
2018-11-04,2018,11,4,November,Sunday,4,44,0
2018-11-05,2018,11,5,November,Monday,4,45,1
2018-11-06,2018,11,6,November,Tuesday,4,45,1
2018-11-07,2018,11,7,November,Wednesday,4,45,1
2018-11-08,2018,11,8,November,Thursday,4,45,0
2018-11-09,2018,11,9,November,Friday,4,45,0
2018-11-10,2018,11,10,November,Saturday,4,45,0
2018-11-11,2018,11,11,November,Sunday,4,45,0
2018-11-12,2018,11,12,November,Monday,4,46,0
2018-11-13,2018,11,13,November,Tuesday,4,46,0
2018-11-14,2018,11,14,November,Wednesday,4,46,0
2018-11-15,2018,11,15,November,Thursday,4,46,0
2018-11-16,2018,11,16,November,Friday,4,46,0
2018-11-17,2018,11,17,November,Saturday,4,46,0
2018-11-18,2018,11,18,November,Sunday,4,46,0
2018-11-19,2018,11,19,November,Monday,4,47,0
2018-11-20,2018,11,20,November,Tuesday,4,47,0
2018-11-21,2018,11,21,November,Wednesday,4,47,0
2018-11-22,2018,11,22,November,Thursday,4,47,0
2018-11-23,2018,11,23,November,Friday,4,47,0
2018-11-24,2018,11,24,November,Saturday,4,47,0
2018-11-25,2018,11,25,November,Sunday,4,47,0
2018-11-26,2018,11,26,November,Monday,4,48,0
2018-11-27,2018,11,27,November,Tuesday,4,48,0
2018-11-28,2018,11,28,November,Wednesday,4,48,0
2018-11-29,2018,11,29,November,Thursday,4,48,0
2018-11-30,2018,11,30,November,Friday,4,48,0
2018-12-01,2018,12,1,December,Saturday,4,48,0
2018-12-02,2018,12,2,December,Sunday,4,48,0
2018-12-03,2018,12,3,December,Monday,4,49,0
2018-12-04,2018,12,4,December,Tuesday,4,49,0
2018-12-05,2018,12,5,December,Wednesday,4,49,0
2018-12-06,2018,12,6,December,Thursday,4,49,0
2018-12-07,2018,12,7,December,Friday,4,49,0
2018-12-08,2018,12,8,December,Saturday,4,49,0
2018-12-09,2018,12,9,December,Sunday,4,49,0
2018-12-10,2018,12,10,December,Monday,4,50,0
2018-12-11,2018,12,11,December,Tuesday,4,50,0
2018-12-12,2018,12,12,December,Wednesday,4,50,0
2018-12-13,2018,12,13,December,Thursday,4,50,0
2018-12-14,2018,12,14,December,Friday,4,50,0
2018-12-15,2018,12,15,December,Saturday,4,50,0
2018-12-16,2018,12,16,December,Sunday,4,50,0
2018-12-17,2018,12,17,December,Monday,4,51,0
2018-12-18,2018,12,18,December,Tuesday,4,51,0
2018-12-19,2018,12,19,December,Wednesday,4,51,0
2018-12-20,2018,12,20,December,Thursday,4,51,0
2018-12-21,2018,12,21,December,Friday,4,51,0
2018-12-22,2018,12,22,December,Saturday,4,51,0
2018-12-23,2018,12,23,December,Sunday,4,51,0
2018-12-24,2018,12,24,December,Monday,4,52,0
2018-12-25,2018,12,25,December,Tuesday,4,52,0
2018-12-26,2018,12,26,December,Wednesday,4,52,0
2018-12-27,2018,12,27,December,Thursday,4,52,0
2018-12-28,2018,12,28,December,Friday,4,52,0
2018-12-29,2018,12,29,December,Saturday,4,52,0
2018-12-30,2018,12,30,December,Sunday,4,52,0
2018-12-31,2018,12,31,December,Monday,4,1,0
2019-01-01,2019,1,1,January,Tuesday,1,1,0
2019-01-02,2019,1,2,January,Wednesday,1,1,0
2019-01-03,2019,1,3,January,Thursday,1,1,0
2019-01-04,2019,1,4,January,Friday,1,1,0
2019-01-05,2019,1,5,January,Saturday,1,1,0
2019-01-06,2019,1,6,January,Sunday,1,1,0
2019-01-07,2019,1,7,January,Monday,1,2,0
2019-01-08,2019,1,8,January,Tuesday,1,2,0
2019-01-09,2019,1,9,January,Wednesday,1,2,0
2019-01-10,2019,1,10,January,Thursday,1,2,0
2019-01-11,2019,1,11,January,Friday,1,2,0
2019-01-12,2019,1,12,January,Saturday,1,2,0
2019-01-13,2019,1,13,January,Sunday,1,2,0
2019-01-14,2019,1,14,January,Monday,1,3,0
2019-01-15,2019,1,15,January,Tuesday,1,3,0
2019-01-16,2019,1,16,January,Wednesday,1,3,0
2019-01-17,2019,1,17,January,Thursday,1,3,0
2019-01-18,2019,1,18,January,Friday,1,3,0
2019-01-19,2019,1,19,January,Saturday,1,3,0
2019-01-20,2019,1,20,January,Sunday,1,3,0
2019-01-21,2019,1,21,January,Monday,1,4,0
2019-01-22,2019,1,22,January,Tuesday,1,4,0
2019-01-23,2019,1,23,January,Wednesday,1,4,0
2019-01-24,2019,1,24,January,Thursday,1,4,0
2019-01-25,2019,1,25,January,Friday,1,4,0
2019-01-26,2019,1,26,January,Saturday,1,4,0
2019-01-27,2019,1,27,January,Sunday,1,4,0
2019-01-28,2019,1,28,January,Monday,1,5,0
2019-01-29,2019,1,29,January,Tuesday,1,5,0
2019-01-30,2019,1,30,January,Wednesday,1,5,0
2019-01-31,2019,1,31,January,Thursday,1,5,0
2019-02-01,2019,2,1,February,Friday,1,5,0
2019-02-02,2019,2,2,February,Saturday,1,5,0
2019-02-03,2019,2,3,February,Sunday,1,5,0
2019-02-04,2019,2,4,February,Monday,1,6,0
2019-02-05,2019,2,5,February,Tuesday,1,6,0
2019-02-06,2019,2,6,February,Wednesday,1,6,0
2019-02-07,2019,2,7,February,Thursday,1,6,0
2019-02-08,2019,2,8,February,Friday,1,6,0
2019-02-09,2019,2,9,February,Saturday,1,6,0
2019-02-10,2019,2,10,February,Sunday,1,6,0
2019-02-11,2019,2,11,February,Monday,1,7,0
2019-02-12,2019,2,12,February,Tuesday,1,7,0
2019-02-13,2019,2,13,February,Wednesday,1,7,0
2019-02-14,2019,2,14,February,Thursday,1,7,0
2019-02-15,2019,2,15,February,Friday,1,7,0
2019-02-16,2019,2,16,February,Saturday,1,7,0
2019-02-17,2019,2,17,February,Sunday,1,7,0
2019-02-18,2019,2,18,February,Monday,1,8,0
2019-02-19,2019,2,19,February,Tuesday,1,8,0
2019-02-20,2019,2,20,February,Wednesday,1,8,0
2019-02-21,2019,2,21,February,Thursday,1,8,0
2019-02-22,2019,2,22,February,Friday,1,8,0
2019-02-23,2019,2,23,February,Saturday,1,8,0
2019-02-24,2019,2,24,February,Sunday,1,8,0
2019-02-25,2019,2,25,February,Monday,1,9,0
2019-02-26,2019,2,26,February,Tuesday,1,9,0
2019-02-27,2019,2,27,February,Wednesday,1,9,0
2019-02-28,2019,2,28,February,Thursday,1,9,0
2019-03-01,2019,3,1,March,Friday,1,9,0
2019-03-02,2019,3,2,March,Saturday,1,9,0
2019-03-03,2019,3,3,March,Sunday,1,9,0
2019-03-04,2019,3,4,March,Monday,1,10,0
2019-03-05,2019,3,5,March,Tuesday,1,10,0
2019-03-06,2019,3,6,March,Wednesday,1,10,0
2019-03-07,2019,3,7,March,Thursday,1,10,0
2019-03-08,2019,3,8,March,Friday,1,10,0
2019-03-09,2019,3,9,March,Saturday,1,10,0
2019-03-10,2019,3,10,March,Sunday,1,10,0
2019-03-11,2019,3,11,March,Monday,1,11,0
2019-03-12,2019,3,12,March,Tuesday,1,11,0
2019-03-13,2019,3,13,March,Wednesday,1,11,0
2019-03-14,2019,3,14,March,Thursday,1,11,0
2019-03-15,2019,3,15,March,Friday,1,11,0
2019-03-16,2019,3,16,March,Saturday,1,11,0
2019-03-17,2019,3,17,March,Sunday,1,11,0
2019-03-18,2019,3,18,March,Monday,1,12,0
2019-03-19,2019,3,19,March,Tuesday,1,12,0
2019-03-20,2019,3,20,March,Wednesday,1,12,0
2019-03-21,2019,3,21,March,Thursday,1,12,0
2019-03-22,2019,3,22,March,Friday,1,12,0
2019-03-23,2019,3,23,March,Saturday,1,12,0
2019-03-24,2019,3,24,March,Sunday,1,12,0
2019-03-25,2019,3,25,March,Monday,1,13,0
2019-03-26,2019,3,26,March,Tuesday,1,13,0
2019-03-27,2019,3,27,March,Wednesday,1,13,0
2019-03-28,2019,3,28,March,Thursday,1,13,0
2019-03-29,2019,3,29,March,Friday,1,13,0
2019-03-30,2019,3,30,March,Saturday,1,13,0
2019-03-31,2019,3,31,March,Sunday,1,13,0
2019-04-01,2019,4,1,April,Monday,2,14,0
2019-04-02,2019,4,2,April,Tuesday,2,14,0
2019-04-03,2019,4,3,April,Wednesday,2,14,0
2019-04-04,2019,4,4,April,Thursday,2,14,0
2019-04-05,2019,4,5,April,Friday,2,14,0
2019-04-06,2019,4,6,April,Saturday,2,14,0
2019-04-07,2019,4,7,April,Sunday,2,14,0
2019-04-08,2019,4,8,April,Monday,2,15,0
2019-04-09,2019,4,9,April,Tuesday,2,15,0
2019-04-10,2019,4,10,April,Wednesday,2,15,0
2019-04-11,2019,4,11,April,Thursday,2,15,0
2019-04-12,2019,4,12,April,Friday,2,15,0
2019-04-13,2019,4,13,April,Saturday,2,15,0
2019-04-14,2019,4,14,April,Sunday,2,15,0
2019-04-15,2019,4,15,April,Monday,2,16,0
2019-04-16,2019,4,16,April,Tuesday,2,16,0
2019-04-17,2019,4,17,April,Wednesday,2,16,0
2019-04-18,2019,4,18,April,Thursday,2,16,0
2019-04-19,2019,4,19,April,Friday,2,16,0
2019-04-20,2019,4,20,April,Saturday,2,16,0
2019-04-21,2019,4,21,April,Sunday,2,16,0
2019-04-22,2019,4,22,April,Monday,2,17,0
2019-04-23,2019,4,23,April,Tuesday,2,17,0
2019-04-24,2019,4,24,April,Wednesday,2,17,0
2019-04-25,2019,4,25,April,Thursday,2,17,0
2019-04-26,2019,4,26,April,Friday,2,17,0
2019-04-27,2019,4,27,April,Saturday,2,17,0
2019-04-28,2019,4,28,April,Sunday,2,17,0
2019-04-29,2019,4,29,April,Monday,2,18,0
2019-04-30,2019,4,30,April,Tuesday,2,18,0
2019-05-01,2019,5,1,May,Wednesday,2,18,0
2019-05-02,2019,5,2,May,Thursday,2,18,0
2019-05-03,2019,5,3,May,Friday,2,18,0
2019-05-04,2019,5,4,May,Saturday,2,18,0
2019-05-05,2019,5,5,May,Sunday,2,18,0
2019-05-06,2019,5,6,May,Monday,2,19,0
2019-05-07,2019,5,7,May,Tuesday,2,19,0
2019-05-08,2019,5,8,May,Wednesday,2,19,0
2019-05-09,2019,5,9,May,Thursday,2,19,0
2019-05-10,2019,5,10,May,Friday,2,19,0
2019-05-11,2019,5,11,May,Saturday,2,19,0
2019-05-12,2019,5,12,May,Sunday,2,19,0
2019-05-13,2019,5,13,May,Monday,2,20,1
2019-05-14,2019,5,14,May,Tuesday,2,20,1
2019-05-15,2019,5,15,May,Wednesday,2,20,1
2019-05-16,2019,5,16,May,Thursday,2,20,0
2019-05-17,2019,5,17,May,Friday,2,20,0
2019-05-18,2019,5,18,May,Saturday,2,20,0
2019-05-19,2019,5,19,May,Sunday,2,20,0
2019-05-20,2019,5,20,May,Monday,2,21,0
2019-05-21,2019,5,21,May,Tuesday,2,21,0
2019-05-22,2019,5,22,May,Wednesday,2,21,0
2019-05-23,2019,5,23,May,Thursday,2,21,0
2019-05-24,2019,5,24,May,Friday,2,21,0
2019-05-25,2019,5,25,May,Saturday,2,21,0
2019-05-26,2019,5,26,May,Sunday,2,21,0
2019-05-27,2019,5,27,May,Monday,2,22,0
2019-05-28,2019,5,28,May,Tuesday,2,22,0
2019-05-29,2019,5,29,May,Wednesday,2,22,0
2019-05-30,2019,5,30,May,Thursday,2,22,0
